葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
昌黎长城庄园一星精品干红葡萄酒,760,"Changli Greatwall Manor 1-Star Fine Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),黑醋栗覆盆子樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制而成。该酒呈宝石红色，具有幽雅、芬芳的果香和谐调、醇厚的酒香，回味无穷。
昌黎长城庄园七年窖藏赤霞珠干红葡萄酒,727,"Changli Greatwall Manor 7-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗蓝莓香料矿物质,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏7年以上。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷。
昌黎长城庄园三年窖藏精品干红葡萄酒,475,"Changli Greatwall Manor 3-Year Cellar Aged Fine Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),黑醋栗蓝莓香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制而成。该酒呈亮丽的宝石红色，澄清透明，具有幽雅、芬芳的果香和谐调、醇厚的酒香，适宜搭配牛肉和羊肉等菜肴。
昌黎长城庄园葡园V区橡木桶干红葡萄酒,433,"Changli Greatwall Manor V District Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),成熟水果香草咖啡,这款葡萄酒精选昌黎长城庄园公司绿色食品基地V区名贵酿酒葡萄品种葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏。该酒呈深宝石红色，酒香和谐浓郁，入口细腻，醇厚丰满，是不可多得的红酒佳酿。
昌黎长城庄园五年窖藏赤霞珠干红葡萄酒,483,"Changli Greatwall Manor 5-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑甘草香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏多年。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格。
昌黎长城庄园二星赤霞珠干红葡萄酒,552,"Changli Greatwall Manor 2-Star Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑醋栗覆盆子樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷。
昌黎长城庄园2000橡木桶干红葡萄酒,504,"Changli Greatwall Manor 2000 Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),成熟水果甘草,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制而成。该酒呈现出迷人的宝石红色，充满馥郁的水果香气，口感饱满圆润，回味悠长，回甘中散发着由橡木赋予的独特香味。
昌黎长城庄园葡园F区霞多丽干白葡萄酒,821,"Changli Greatwall Manor F District Chardonnay, Changli, China",白葡萄酒,昌黎长城庄园,"('霞多丽',)",柠檬梨子,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷F区名贵酿酒葡萄霞多丽为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒呈禾杆黄色，酒香和谐浓郁，入口细腻、醇厚丰满，是不可多得的白葡萄酒佳品。
昌黎长城庄园五年窖藏特制干红葡萄酒,664,"Changli Greatwall Manor 5-Year Cellar Aged Special Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),黑醋栗蓝莓香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏5年以上。该酒呈晶莹的宝石红色，富含成熟的水果芳香，单宁柔顺，酒体醇厚，余味绵延。
昌黎长城庄园四星D区珍藏梅鹿辄干红葡萄酒,705,"Changli Greatwall Manor 4-Star D District Reserve Merlot, Changli, China",红葡萄酒,昌黎长城庄园,"('梅洛',)",蓝莓肉桂丁香,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄梅洛为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒色泽明亮，闻之富含黑色水果香，还伴有丝丝香料，如肉桂，丁香的气味。
昌黎长城庄园三星E区特选赤霞珠干红葡萄酒,599,"Changli Greatwall Manor 3-Star E District Special Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒呈宝石红色，澄清透明，具有幽雅、芬芳的果香和谐调、醇厚的酒香，饮后适口。
昌黎长城庄园98精品窖藏橡木桶干红葡萄酒,784,"Changli Greatwall Manor 98 Fine Cellar Aged Oak Barreled Dry Red, Changli, China",红葡萄酒,昌黎长城庄园,(),成熟水果烘烤香草咖啡,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规限量酿制。该酒呈晶莹的宝石红，带有成熟水果香和橡木赋予的独特香味，如烘烤、咖啡和香草味，单宁充分，具有挥之不去的余味。
昌黎长城庄园十年窖藏赤霞珠干红葡萄酒,848,"Changli Greatwall Manor 10-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑甘草香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷。
昌黎长城庄园葡园A区赤霞珠干红葡萄酒,738,"Changli Greatwall Manor A District Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷A区名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏。该酒呈深宝石红色，具有芬芳的果香和醇厚的酒香，口味丰满柔顺，余味悠长，是不可多得的红酒佳酿。
昌黎长城庄园八年窖藏赤霞珠干红葡萄酒,525,"Changli Greatwall Manor 8-Year Cellar Aged Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑甘草香料,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏8年以上。该酒呈宝石红色，澄清透明，果香幽雅芬芳，酒体协调醇厚，回味无穷，具有干红葡萄酒独特的风格，是不可多得的红酒佳品。
昌黎长城庄园葡园D区赤霞珠干红葡萄酒,687,"Changli Greatwall Manor D District Cabernet Sauvignon, Changli, China",红葡萄酒,昌黎长城庄园,"('赤霞珠',)",黑加仑樱桃,这款葡萄酒精选昌黎长城庄园公司绿色食品基地——凤凰山谷D区名贵酿酒葡萄赤霞珠为原料，由国际酿酒师精心指导，严格按照O.I.V.国际葡萄酿酒法规酿制，经橡木桶窖藏。该酒呈深宝石红色，具有浓郁的品种香气，入口如丝绒般细腻、醇厚丰满，是不可多得的红酒佳酿。
耿氏酒堡总统假日赤霞珠干红葡萄酒,5471,"Chateau Gains Presidential Holiday Cabernet Sauvignon, Changli, China",红葡萄酒,耿氏酒堡,"('赤霞珠',)",成熟水果香草咖啡,耿氏酒堡总统假日赤霞珠干红葡萄酒以酒堡自产精品葡萄赤霞珠为原料，采用法国传统工艺精心酿造，并经过优质橡木桶贮存六个月。酒体晶莹剔透，呈宝石红色，果香酒香浓郁、和谐、优雅，口感醇厚肥硕，余味悠长。
恺雨酒业丹魄干红葡萄酒,2950,"Kaiyu Winery Tempranillo Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('丹魄',)",雅致迷人,这款葡萄酒采用手工精选的丹魄为酿酒葡萄，由恺雨酒业的酿酒师精心酿制而成。酒体呈现亮丽的宝石红色，雅致的酒香和浓郁的果香使得这款酒十分迷人。柔和顺滑的口感和饱满的酒体让这款酒在与红肉搭配时，味道更佳。
恺雨酒业赤霞珠干红葡萄酒,925,"Kaiyu Winery Cabernet Sauvignon Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('赤霞珠',)",顺滑柔和,这款葡萄酒采用秦皇岛产区手工精选的赤霞珠酿制而成。酒体呈现出漂亮的宝石红色，色泽艳丽。果香浓郁，香气沁人心脾且具有层次感，酒体饱满，口感顺滑柔和，是款不错的赤霞珠干红佳酿。
秦皇岛恺雨酒业赤霞珠干红葡萄酒,1370,"Tsinghuangtao Kaiyu Cabernet Sauvignon Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('赤霞珠',)",质地柔滑出色平衡,"该酒选用赤霞珠葡萄为原料，宝石红色，澄清透明有光泽。香气馥郁协调，单宁感厚重、质地柔滑，出色平衡的口感，后劲强劲,酒体丰满平衡。酒体完美，饮后给人以舒适的享受。"
秦皇岛恺雨酒业梅洛干红葡萄酒,1490,"Tsinghuangtao Kaiyu Merlot Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('梅洛',)",舒适醇厚回味悠长,该酒呈深宝石红色，具有浓郁纯正的果香和优雅醇厚的酒香及橡木桶香。酒体澄清透明有光泽，香气浓郁协调，口感舒适醇厚，丰满平衡。酒体完美，回味悠长，饮后给人以舒适的享受。是值得收藏的干红佳品。
云轩酒庄橡木桶窖藏梅洛干红葡萄酒,1555,"Yunxuan Winery Selected Level Cache Decade Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('梅洛',)",平衡柔软丰富复杂,这款葡萄酒呈现出活泼的红宝石色，随着陈年时间增长呈轻微的金黄色。酒体平衡柔软，层次丰富复杂，是款让人难忘怀的佳酿，适宜搭配浓味的烤肉和砂锅菜。
秦皇岛恺雨酒业梅洛干红葡萄酒,1054,"Kaiyu Winery Merlot Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('梅洛',)",结构平衡层次丰富,这款葡萄酒以精选的梅洛为酿酒原料，由恺雨酒业的酿酒师精心酿制而成。短时间的橡木桶发酵恰好给酒液增添了一些橡木桶特色风味，结构平衡，香气更具层次感，口感也更顺滑。
秦皇岛恺雨酒业干红葡萄酒,1493,"Tsinghuangtao Kaiyu Dry Red Wine, Qinhuangdao, China",红葡萄酒,恺雨酒业,"('赤霞珠',)",丰满平衡回味悠长,这款葡萄酒选用名种品种赤霞珠为原料，采用先进的技术和设备，精心酿制而成。酒体呈宝石红色，澄清透亮有光泽，香气浓郁而协调。口感舒适醇厚，丰满平衡。酒体完美，回味悠长，饮后给人以舒适的享受。
云轩酒庄霞多丽干白葡萄酒,1181,"Yunxuan Winery Niveau Selectionne Chardonnay, Qinhuangdao,China,",白葡萄酒,恺雨酒业,"('霞多丽',)",优雅顺滑流畅,这款葡萄酒选用河北秦皇岛产的优质霞多丽为原料精心酿制而成。酒液为绿色调的草黄色，充满木瓜和香蕉的芬芳，交织着橡木陈化带来的香气。酒体结构平衡，优雅顺滑流畅，适合搭配鱼、贝类、扇贝和清淡的砂锅菜。
茅台珍藏干红葡萄酒,2231,"Maotai Wine Reserve Red Wine, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('西拉', '赤霞珠')",圆润饱满细腻成熟,这款葡萄酒采用河北昌黎--凤凰山谷种植的赤霞珠、西拉葡萄为原料，选择最佳的采摘期，精心酿造与呵护，经橡木桶陈酿而成。酒体呈亮丽的宝石红色，细腻成熟的黑莓香、淡淡的奶油香，入口圆润饱满，结构感强。
茅台四星干红葡萄酒,1717,"Maotai Wine Four Star Red Wine, Changli, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('赤霞珠',)",细腻悦怡和谐醇厚,这款葡萄酒原料产自河北昌黎―凤凰山葡萄产区，严格控制亩产量、选择最佳的采摘期，采用先进工艺酿制，经橡木桶陈酿而成。深宝石红色清澈明亮，馥郁的品种香与陈酿后的橡木香气和谐醇厚。入口细腻悦怡，余味绵长。
茅台五星干红葡萄酒,1375,"Maotai Wine Five Star Red Wine, Changli, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('赤霞珠',)",丝滑细腻醇厚,这款葡萄酒原料选自拥有“阳光”、“沙砾”、“海洋”3S特质的河北昌黎产区，由资深酿酒师精心酿制，并经橡木桶陈储而成。晶莹剔透的深宝石红色诱人，浓郁的酒香、果香和橡木香等多种香气并存，入口丝滑细腻，醇厚完整。
茅台经典黑方盒干红精品葡萄酒,2122,"Maotai Wine Black cage Classic Red Wine, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('赤霞珠',)",醇和柔顺幽雅芬芳,这款葡萄酒精选“中国酿酒葡萄酒之乡”昌黎盛产的赤霞珠葡萄品系，采用先进工艺精心酿制，经橡木桶陈酿储存而成。该酒呈深宝石红色，具有幽雅芬芳的果香和醇厚的酒香。口感醇和柔顺，酒体完整。储存温度宜保持在5°C--25°C之间。
茅台二星干红葡萄酒,1291,"Maotai Wine Two Star Red Wine, Changli, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('赤霞珠',)",入口柔顺回味悠长,这款葡萄酒选用优质酿酒葡萄为原料，采用先进的控温发酵技术精心酿制而成。酒体呈亮丽的宝石红色，果香、酒香浓郁，入口柔顺、回味悠长。储存宜保持在5°C----25°C之间。
茅台三星干红葡萄酒,1453,"Maotai Wine Three Star Red Wine, Changli, Changli, China",红葡萄酒,贵州茅台酒厂（集团）昌黎葡萄酒业有限公司,"('赤霞珠',)",,这款葡萄酒选用优质酿酒葡萄为原料，采用先进的控温发酵技术精心酿制而成。酒体呈亮丽的宝石红色，果香、酒香浓郁，入口柔顺、回味悠长。储存温度宜保持在5°C----25°C之间。
山德鲁·特制干红葡萄酒,3096,"Ciel Delor Reserve Red Wine, Lulong, China",红葡萄酒,左右酒业,(),甘美柔润持久浓郁,这款葡萄酒酒液呈现出漂亮的深宝石红色，散发着诱人的水果香味，口感怡人甘美柔润，饮后口中如丝般润滑，留有持久浓郁香味。
左右酒业在路上系列赤霞珠干红葡萄酒,926,"Zuoyou Wines On The Way Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",果香浓郁结构平衡,这款葡萄酒精选来自渤海湾产区秦皇岛卢龙县柳河山谷的赤霞珠为酿酒葡萄。左右酒业的酿酒师精心酿制，酒液经过法国橡木桶中陈酿，口感更加顺滑。酒体呈现漂亮的深宝石红色，果香浓郁，结构平衡，香气层次丰富，是款不错的干红佳品。
左右酒业金天豹赤霞珠干红葡萄酒,814,"Zuoyou Wines Jintianbao Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",结构平衡口感柔顺,这款葡萄酒采用渤海湾产区秦皇岛卢龙柳河山谷的赤霞珠为原料精心酿制而成。酒液呈现出漂亮的深宝石红色，结构复杂，口感柔润甘美，单宁如天鹅绒般顺滑，是款不错的干红。
仁轩酒庄凯博娜高级干红葡萄酒,1823,"Renxuan Winery Kiboona Premium Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",口感柔顺细腻顺滑,这款葡萄酒呈现出漂亮的宝石红色，光泽绚丽香气馥郁，散发着浓郁的果香，单宁柔和细致，轻度的单宁使适口性更好，酒体丰满，适合搭配多种菜肴。
左右酒业红韵连莲系列赤霞珠干红葡萄酒,1709,"Zuoyou Wines Hong Yun Lian Lian Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",清新美味层次复杂,这款葡萄酒精选渤海湾产区卢龙县柳河山谷的赤霞珠葡萄酿制而成，酒体呈现漂亮的深宝石红色，果香清新，结构平衡，香气层次复杂，是款不错的干红佳品。
山德鲁干红葡萄酒,2114,"Zuoyou Wines Ciel delor Red Wine, Lulong, China",红葡萄酒,左右酒业,(),丰满柔顺余味悠长,这款葡萄酒精选产自中国纳帕谷美誉的柳河山谷著名酿酒葡萄为原料，采用先进工艺精心酿制并经法国橡木桶储存而成。这款酒酒液成宝石红色，有芬芳果香和醇厚的酒香，口味丰满柔顺，余味悠长，是值得珍藏的干红佳品。
左右酒业疯狂小鸟赤霞珠干红葡萄酒,1536,"Zuoyou Wines Crazy Birds Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",结构平衡口感柔顺,这款葡萄酒采用渤海湾产区秦皇岛卢龙柳河山谷的赤霞珠为原料精心酿制而成。酒体呈现漂亮的深宝石红色，果香浓郁，结构平衡，香气层次复杂，是款不错的干红佳品。
左右酒业夏之花系列赤霞珠干红葡萄酒,1571,"Zuoyou Wines Summer Flower Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",结构平衡口感柔顺,这款葡萄酒精选渤海湾产区卢龙县柳河山谷的赤霞珠葡萄酿制而成。酒体呈现出亮丽的宝石红色，散发着浓郁的香气，香气层次丰富，口感柔顺，结构平衡，单宁细腻，是款不错的干红葡萄酒。
左右酒业精选赤霞珠干红葡萄酒,1568,"Zuoyou Wines Ciel delor Cabernet Sauvignon Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",芬芳果香余味悠长,这款葡萄酒精选产自柳河山谷的赤霞珠为原料，采用先进工艺精心酿制并经法国橡木桶储存而成。这款酒酒液呈现漂亮的深宝石红色，有芬芳的果香和醇厚的酒香，口感丰满柔顺，余味悠长，是款值得收藏的干红佳品。
左右酒业赤霞珠典藏干红葡萄酒,806,"Zuoyou Wines Classic Cabernet Sauvignon Reserve Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",结构平衡口感柔顺,这款葡萄酒采用渤海湾产区秦皇岛卢龙柳河山谷的赤霞珠为原料精心酿制而成。酒体呈现漂亮的深宝石红色，果香清新，结构平衡，香气层次复杂，是款不错的干红佳品。
左右酒业左右兄弟庄园赤霞珠干红葡萄酒,1292,"Zuoyou Wines Zuoyou Brothers Cabernet Sauvignon Reserve Red Wine, Lulong, China",红葡萄酒,左右酒业,"('赤霞珠',)",口感柔和果香浓郁,这款葡萄酒采用渤海湾产区秦皇岛卢龙柳河山谷的赤霞珠为原料精心酿制而成。酒体呈现漂亮的深宝石红色，散发着浓郁的水果香气，结构平衡，香气层次复杂，是款不错的干红佳品。
诗百轩庄园银轩品丽珠干红葡萄酒,2284,"Chateau Cepasine Yinxuan Cabernet Franc, Changli, China",红葡萄酒,诗百轩庄园,"('品丽珠',)",青草黑加仑桑椹,这款葡萄酒呈宝石红色，带有浓烈的青草味，混合着可口的黑加仑和桑椹的果味，酒体轻盈，可口芳纯，细致优雅。
诗百轩庄园干帝黑品诺干红葡萄酒,1875,"Chateau Cepasine Gandi Pinot Noir, Changli, China",红葡萄酒,诗百轩庄园,"('黑皮诺',)",樱桃草莓,这款葡萄酒呈宝石红色，闻之富含樱桃和草莓的果香，气质优雅口感均衡柔润，细致芳纯，变化丰富。
诗百轩庄园莎当妮干白葡萄酒,1126,"Chateau Cepasine Chardonnay, Changli, China",白葡萄酒,诗百轩庄园,"('霞多丽',)",菠萝柑橘成熟柠檬香草,这款葡萄酒呈淡淡的金黄色，带有浓郁的菠萝、柑橘和成熟柠檬的水果芳香，伴随着优雅和谐的香草气息，口感柔滑细腻，齿颊留香。
诗百轩庄园西拉典藏干红葡萄酒,1318,"Chateau Cepasine Classic Reserve Syrah, Changli, China",红葡萄酒,诗百轩庄园,"('西拉',)",黑醋栗雪松烤面包咖啡,这款葡萄酒呈深紫红色，成熟的品种香和橡木桶中的天然植物香融为一体，略带雪松香气，酒香浓郁，口感丰满，风格独特。
诗百轩庄园庄主珍藏西拉干红葡萄酒,1491,"Chateau Cepasine Chairman’s Reserve Syrah, Changli, China",红葡萄酒,诗百轩庄园,"('西拉',)",黑醋栗紫罗兰松露,这款葡萄酒经橡木桶陈酿18个月，酒体丰富而饱满，单宁结构完整，优雅醇厚，深宝石红中略带浅浅的紫晕，蕴含着陈年橡木浓郁的香气及复杂而活泼的果香。
诗百轩庄园高级赤霞珠干红葡萄酒,1272,"Chateau Cepasine Senior Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",黑加仑黑莓香草烤面包,这款葡萄酒呈深红色，具有典型的品种香气，香草香和来自橡木桶的面包香，舒适协调，口感醇厚舒顺，丰满圆润，犹如湖面拂风夹裹花香飘过舌尖，唇齿留香持久。
诗百轩庄园金箭楼赤霞珠干红葡萄酒,1264,"Chateau Cepasine Jinjianlou Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",黑醋栗覆盆子,这款葡萄酒呈亮丽的宝石红色，具有青草味并带有黑醋栗、覆盆子的香气，口感和谐平衡，饱满而丰富的果香伴着柔和细腻的单宁，余味悠长。
诗百轩庄园银箭楼赤霞珠干红葡萄酒,673,"Chateau Cepasine Yinjianlou Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",红莓李子桑葚黑加仑子,这款葡萄酒呈宝石红色，澄清透明，富有红莓、李子和新鲜桑葚的味道，混合可口的黑加仑子等果味，酒体轻盈，细致优雅。
诗百轩庄园铜轩蛇龙珠干红葡萄酒,1114,"Chateau Cepasine Tongxuan Cabernet Gernischt, Changli, China",红葡萄酒,诗百轩庄园,"('蛇龙珠',)",香料蘑菇松脂,这款葡萄酒呈宝石红色，澄清透明，具有香料、蘑菇、松脂等气味，香气复杂优雅，单宁细腻柔和，入口有层次感，余韵悠长。
诗百轩庄园梅洛干红葡萄酒,1280,"Chateau Cepasine Merlot, Changli, China",红葡萄酒,诗百轩庄园,"('梅洛',)",覆盆子烟熏胡椒,这款葡萄酒采用国际名种酿酒葡萄梅洛为原料，经先进工艺精心酿制而成，并经过橡木桶陈酿。该酒呈深宝石红，果香成熟，略带烟熏与胡椒香气，酒体柔和。
诗百轩庄园陈酿赤霞珠干红葡萄酒,948,"Chateau Cepasine Aged Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",覆盆子李子,这款葡萄酒呈晶莹的深宝石红色，具有覆盆子等黑色成熟浆果香，辅以李子等果香，怡悦的陈酿酒香和橡木香交融协调，香气馥郁，层次丰富，口感圆润，余味悠长。
诗百轩庄园西拉珍藏干红葡萄酒,1096,"Chateau Cepasine Reserve Syrah, Changli, China",红葡萄酒,诗百轩庄园,"('西拉',)",香草雪松成熟浆果,这款葡萄酒呈深紫红色，晶莹透亮，柔柔的香草中略带雪松的香气，浓郁的成熟浆果香在橡木桶的熏陶中凝练，慢慢绽放出成熟的酒香。该酒口感丰满醇厚，风格独特。
诗百轩庄园干帝赤霞珠干红葡萄酒,956,"Chateau Cepasine Gandi Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",桑葚李子红莓,这款葡萄酒呈宝石红色，富有新鲜桑葚、李子和红莓的味道，口感饱满，丰富的果香伴着柔和细腻的单宁，和谐平衡，余味悠长。
诗百轩庄园窖藏西拉干红葡萄酒,1254,"Chateau Cepasine Cellar Aged Syrah, Changli, China",红葡萄酒,诗百轩庄园,"('西拉',)",黑醋栗雪松,这款葡萄酒呈深紫红色，成熟的品种香和橡木桶中的天然植物香融为一体，略带雪松香气，酒香浓郁，口感丰满，风格独特。
诗百轩庄园西拉特酿干红葡萄酒,1103,"Chateau Cepasine Special Syrah, Changli, China",红葡萄酒,诗百轩庄园,"('西拉',)",成熟浆果香草雪松,这款葡萄酒呈深宝石红色，以浓郁的成熟浆果香与橡木香为主导，还带有柔柔的香草与雪松香气，口感温润细腻，入口圆滑。
诗百轩庄园金轩赤霞珠干红葡萄酒,713,"Chateau Cepasine Jinxuan Cabernet Sauvignon, Changli, China",红葡萄酒,诗百轩庄园,"('赤霞珠',)",茶藨子堇菜花蘑菇松脂,这款葡萄酒呈亮丽的宝石红色，以黑茶藨子和堇菜花香气为主，同时具有蘑菇、松脂的气味，口感醇美，单宁细致，余味悠长。
阿斯咖庄园霞多丽干白葡萄酒,1205,"Aspen Manor Chardonnay, Changli, China",白葡萄酒,龙腾葡萄酒,"('霞多丽',)",柑橘青苹果白桃,这款葡萄酒呈浅柠檬黄色，带有明显的柑橘类水果、青苹果和白桃等水果香气，口感柔顺，酸度平衡。
剑尔马雷司令干白葡萄酒,1082,"Jian Er Ma Riesling, Changli, China",白葡萄酒,龙腾葡萄酒,"('雷司令',)",柠檬西柚桃子,这款雷司令干白葡萄酒呈浅柠檬黄色，晶莹剔透，闻之富含柠檬、西柚和桃子等水果香气，口感清爽，酸度宜人。
阿斯咖庄园贵族黑皮诺干红葡萄酒,1090,"Aspen Manor Noble Pinot Noir, Changli, China",红葡萄酒,龙腾葡萄酒,"('黑皮诺',)",草莓樱桃,这款黑皮诺干红葡萄呈深紫红色，澄清透明，带有明显的红色水果的香气，如草莓，樱桃等，果香馥郁，单宁适中。
RPL名帅干红葡萄酒,2101,"RPL Marshal, Changli, China",红葡萄酒,红色波尔,"('西拉', '赤霞珠')",胡椒雪松烤面包,名帅为RPL深度定制中的高端产品。此酒精选2004年采摘酿造的世界稀有酿酒葡萄品种——西拉为主原料，混合配比赤霞珠葡萄品种，采用控温发酵重力酿造法，由国际酿酒大师调制，又经法国橡木桶细致培养12个月后装瓶而成。该酒酒体呈宝石红色，稍具艳丽的紫色调，光泽明亮，有着明显的胡椒和雪松的香气，后味中融有烤面包的香气，香气由开始的浓烈厚重而渐转悠长，入口香滑纯粹。
RPL尊荣系列英雄西拉干红葡萄酒,1636,"RPL Premium Hero Syrah, Changli, China",红葡萄酒,红色波尔,"('西拉',)",雪松胡椒香草水果酱,这款葡萄酒精选2003年出产的稀有酿酒葡萄品种西拉单体为原料，由世界著名酿酒师精心调制，又经法国橡木桶细致培养18个月后装瓶而成。此款酒体呈宝石红色，明亮悦人，挂杯优美持久，具有典型的雪松香气、淡淡的胡椒辛烈香气、香草香气和成熟浓重的水果酱香。香气浓郁复杂，酒体丰满平衡，口感醇厚，余味悠长。一如英雄般的个性，豪放、洒脱又不失热烈，淡定而从容。
